iso3,name,Longitude,Latitude
ABW,Aruba,-69.977,12.517
AFG,Afghanistan,65.216,33.677
AGO,Angola,17.544,-12.296
AIA,Anguilla,-63.032,18.237
ALA,Aland Islands,19.952,60.198
ALB,Albania,20.068,41.143
AND,Andorra,1.576,42.549
ANT,ANT,-68.87,12.123
ARE,United Arab Emirates,54.163,23.549
ARG,Argentina,-65.167,-35.377
ARM,Armenia,44.563,40.534
ASM,American Samoa,-170.73,-14.318
ATA,Antarctica,21.304,-80.446
ATF,French Southern Territories,69.117,-49.302
ATG,Antigua & Barbuda,-61.783,17.078
AUS,Australia,136.189,-24.973
AUT,Austria,14.912,47.683
AZE,Azerbaijan,47.395,40.43
BDI,Burundi,29.887,-3.356
BEL,Belgium,4.664,50.643
BEN,Benin,2.469,10.541
BFA,Burkina Faso,-1.74,12.278
BGD,Bangladesh,89.941,24.218
BGR,Bulgaria,25.231,42.761
BHR,Bahrain,50.562,26.019
BHS,Bahamas,-78.014,24.628
BIH,Bosnia & Herzegovina,17.786,44.169
BLM,St. Barthelemy,-63.043,18.04
BLR,Belarus,28.047,53.54
BLZ,Belize,-88.602,17.219
BMU,Bermuda,-64.709,32.336
BOL,Bolivia,-64.671,-16.715
BRA,Brazil,-53.089,-10.772
BRB,Barbados,-59.559,13.153
BRN,Brunei,114.591,4.468
BTN,Bhutan,90.429,27.415
BVT,Bouvet Island,3.412,-54.422
BWA,Botswana,23.815,-22.182
CAF,Central African Republic,20.483,6.571
CAN,Canada,-109.433,59.081
CCK,Cocos (Keeling) Islands,96.839,-12.173
CHE,Switzerland,7.908,46.861
CHL,Chile,-69.433,-23.389
CHN,China,106.514,33.42
CIV,Cote d'Ivoire,-5.556,7.632
CMR,Cameroon,12.277,5.133
COD,Congo - Kinshasa,23.654,-2.876
COG,Congo - Brazzaville,15.986,-0.055
COK,Cook Islands,-159.782,-21.219
COL,Colombia,-73.076,3.9
COM,Comoros,43.337,-11.758
CPV,Cape Verde,-23.634,15.071
CRI,Costa Rica,-83.946,9.971
CUB,Cuba,-77.781,21.297
CXR,Christmas Island,105.704,-10.444
CYM,Cayman Islands,-81.198,19.314
CYP,Cyprus,33.219,35.043
CZE,Czechia,15.338,49.743
DEU,Germany,9.851,51.11
DJI,Djibouti,42.516,11.9
DMA,Dominica,-61.356,15.475
DNK,Denmark,9.264,56.058
DOM,Dominican Republic,-70.729,19.015
DZA,Algeria,2.632,28.163
ECU,Ecuador,-78.497,-1.385
EGY,Egypt,29.872,26.494
ERI,Eritrea,38.219,16.045
ESH,Western Sahara,-13.706,24.554
ESP,Spain,-3.649,40.227
EST,Estonia,25.793,58.674
ETH,Ethiopia,39.616,8.626
FIN,Finland,26.272,64.504
FJI,Fiji,177.974,-17.819
FLK,Falkland Islands,-58.694,-51.665
FRA,France,2.55,46.565
FRO,Faroe Islands,-6.864,62.05
FSM,Micronesia (Federated States of),158.235,6.883
GAB,Gabon,11.797,-0.591
GBR,United Kingdom,-2.9,54.16
GEO,Georgia,43.518,42.176
GGY,Guernsey,-2.576,49.459
GHA,Ghana,-1.207,7.96
GIB,Gibraltar,-5.345,36.138
GIN,Guinea,-10.942,10.439
GLP,Guadeloupe,-61.441,16.286
GMB,Gambia,-15.386,13.453
GNB,Guinea-Bissau,-14.651,12.125
GNQ,Equatorial Guinea,10.488,1.607
GRC,Greece,21.766,39.666
GRD,Grenada,-61.678,12.118
GRL,Greenland,-41.391,74.719
GTM,Guatemala,-90.398,15.256
GUF,French Guiana,-53.241,3.924
GUM,Guam,144.707,13.385
GUY,Guyana,-58.974,4.792
HKG,Hong Kong SAR China,114.129,22.423
HMD,Heard & McDonald Islands,73.507,-53.111
HND,Honduras,-86.863,14.819
HRV,Croatia,16.693,45.723
HTI,Haiti,-72.278,19.142
HUN,Hungary,19.134,47.07
IDN,Indonesia,114.252,-0.976
IMN,Isle of Man,-4.527,54.229
IND,India,79.619,22.881
IOT,British Indian Ocean Territory,72.416,-7.335
IRL,Ireland,-8.152,53.177
IRN,Iran,54.301,32.565
IRQ,Iraq,43.772,33.048
ISL,Iceland,-18.48,64.764
ISR,Israel,34.851,31.026
ITA,Italy,10.44,44.931
JAM,Jamaica,-77.32,18.151
JEY,Jersey,-2.129,49.219
JOR,Jordan,36.319,30.703
JPN,Japan,139.068,36.491
KAZ,Kazakhstan,67.301,48.16
KEN,Kenya,37.858,0.53
KGZ,Kyrgyzstan,74.555,41.465
KHM,Cambodia,104.564,12.714
KIR,Kiribati,175.036,-1.508
KNA,St. Kitts & Nevis,-62.769,17.34
KOR,South Korea,128.103,36.504
KWT,Kuwait,47.376,29.476
LAO,Laos,102.471,19.905
LBN,Lebanon,35.888,33.92
LBR,Liberia,-9.657,6.682
LBY,Libya,18.023,27.044
LCA,St. Lucia,-60.969,13.898
LIE,Liechtenstein,9.555,47.153
LKA,Sri Lanka,80.704,7.612
LSO,Lesotho,28.243,-29.581
LTU,Lithuania,23.897,55.336
LUX,Luxembourg,6.088,49.771
LVA,Latvia,25.641,56.858
MAC,Macau SAR China,113.545,22.2
MAF,Saint Martin (French part),-63.041,18.094
MAR,Morocco,-5.758,32.706
MCO,Monaco,7.412,43.75
MDA,Moldova,28.599,47.193
MDG,Madagascar,46.706,-19.374
MDV,Maldives,72.92,3.548
MEX,Mexico,-102.535,23.951
MHL,Marshall Islands,168.963,7.595
MKD,Macedonia,21.698,41.6
MLI,Mali,-3.524,17.35
MLT,Malta,14.442,35.89
MMR,Myanmar (Burma),96.041,21.718
MNE,Montenegro,19.254,42.792
MNG,Mongolia,102.876,46.056
MNP,Northern Mariana Islands,145.623,15.005
MOZ,Mozambique,37.923,-14.422
MRT,Mauritania,-10.332,20.26
MSR,Montserrat,-62.187,16.736
MTQ,Martinique,-61.021,14.653
MUS,Mauritius,57.583,-20.255
MWI,Malawi,33.808,-13.4
MYS,Malaysia,102.195,4.201
MYT,Mayotte,45.155,-12.777
NAM,Namibia,17.218,-22.133
NCL,New Caledonia,165.447,-21.359
NER,Niger,9.398,17.426
NFK,Norfolk Island,167.953,-29.037
NGA,Nigeria,8.105,9.594
NIC,Nicaragua,-85.034,12.84
NIU,Niue,-169.869,-19.052
NLD,Netherlands,5.389,52.077
NOR,Norway,8.74,61.152
NPL,Nepal,83.939,28.253
NRU,Nauru,166.93,-0.522
NZL,New Zealand,172.235,-42.634
OMN,Oman,57.407,21.656
PAK,Pakistan,69.386,29.967
PAN,Panama,-80.92,8.384
PCN,Pitcairn Islands,-128.316,-24.366
PER,Peru,-75.552,-9.326
PHL,Philippines,122.466,11.118
PLW,Palau,134.57,7.501
PNG,Papua New Guinea,143.459,-5.949
POL,Poland,19.401,52.125
PRI,Puerto Rico,-66.466,18.221
PRK,North Korea,126.451,39.778
PRT,Portugal,-8.058,40.309
PRY,Paraguay,-58.391,-23.236
PSE,Palestinian Territories,35.278,32.037
PYF,French Polynesia,-149.462,-17.626
QAT,Qatar,51.191,25.316
REU,Reunion,55.538,-21.122
ROU,Romania,24.969,45.844
RUS,Russia,96.689,61.988
RWA,Rwanda,29.917,-1.998
SAU,Saudi Arabia,44.585,24.023
SDN,Sudan,30.05,13.832
SEN,Senegal,-14.881,15.013
SGP,Singapore,103.808,1.351
SGS,South Georgia & South Sandwich Islands,-36.891,-54.209
SHN,St. Helena,-5.71,-15.953
SJM,Svalbard & Jan Mayen,18.374,78.83
SLB,Solomon Islands,160.109,-9.611
SLE,Sierra Leone,-11.792,8.56
SLV,El Salvador,-88.866,13.736
SMR,San Marino,12.46,43.942
SOM,Somalia,48.316,9.774
SPM,St. Pierre & Miquelon,-56.325,47.042
SRB,Serbia,20.806,44.032
STP,Sao Tome & Principe,6.629,0.201
SUR,Suriname,-55.912,4.127
SVK,Slovakia,19.491,48.707
SVN,Slovenia,14.827,46.124
SWE,Sweden,15.27,62.011
SWZ,Swaziland,31.497,-26.562
SYC,Seychelles,55.474,-4.647
SYR,Syria,38.506,35.013
TCA,Turks & Caicos Islands,-71.95,21.902
TCD,Chad,18.665,15.361
TGO,Togo,1.081,8.799
THA,Thailand,100.844,15.7
TJK,Tajikistan,69.42,38.665
TKL,Tokelau,-171.853,-9.193
TKM,Turkmenistan,59.384,39.122
TLS,Timor-Leste,125.878,-8.822
TON,Tonga,-175.185,-21.202
TTO,Trinidad & Tobago,-61.253,10.468
TUN,Tunisia,9.596,35.383
TUR,Turkey,35.179,39.061
TUV,Tuvalu,179.219,-8.514
TWN,Taiwan,120.946,23.754
TZA,Tanzania,34.823,-6.27
UGA,Uganda,32.386,1.28
UKR,Ukraine,31.388,49.016
UMI,United States Minor Outlying Islands (the),-160.027,-0.385
URY,Uruguay,-56.012,-32.8
USA,United States,-98.606,39.622
UZB,Uzbekistan,63.17,41.75
VAT,Vatican City,12.451,41.904
VCT,St. Vincent & Grenadines,-61.194,13.248
VEN,Venezuela,-66.166,7.125
VGB,British Virgin Islands,-64.39,18.483
VIR,U.S. Virgin Islands,-64.785,17.741
VNM,Vietnam,105.314,21.491
VUT,Vanuatu,166.899,-15.376
WLF,Wallis & Futuna,-178.131,-14.289
WSM,Samoa,-172.414,-13.652
YEM,Yemen,48.355,15.807
ZAF,South Africa,23.121,-30.558
ZMB,Zambia,26.32,-14.614
ZWE,Zimbabwe,29.872,-19
BES,Caribbean Netherlands,-68.25,12.1666666667
CUW,Curacao,-69,12.1666666667
SXM,Sint Maarten,-63.06667,18.04167
SSD,South Sudan,30,8
